prompt,seed,image_path,num_inference_steps,guidance_scale,height,width,time_seconds,prompt_id,theme,detail_level,model_id,device
"an autumn park landscape filled with trees and a few people walking, dark-to-brown clothing palette, falling leaves, orange setting sun, warm afternoon glow, light mist in the air",2001,outputs\part_b\images\B09_seed2001.png,4,0.0,512,512,9.718293900004937,B09,autumn_park,detailed,stabilityai/sdxl-turbo,cuda
"an autumn park landscape filled with trees and a few people walking, dark-to-brown clothing palette, falling leaves, orange setting sun, warm afternoon glow, light mist in the air",2002,outputs\part_b\images\B09_seed2002.png,4,0.0,512,512,9.346576600000844,B09,autumn_park,detailed,stabilityai/sdxl-turbo,cuda
"an autumn park landscape filled with trees and a few people walking, dark-to-brown clothing palette, falling leaves, orange setting sun, warm afternoon glow, light mist in the air",2003,outputs\part_b\images\B09_seed2003.png,4,0.0,512,512,8.435006200001226,B09,autumn_park,detailed,stabilityai/sdxl-turbo,cuda
a hyper-realistic ant on a small hill,2001,outputs\part_b\images\B10_seed2001.png,4,0.0,512,512,9.444439700004295,B10,ant_scene,short,stabilityai/sdxl-turbo,cuda
a hyper-realistic ant on a small hill,2002,outputs\part_b\images\B10_seed2002.png,4,0.0,512,512,8.545858799996495,B10,ant_scene,short,stabilityai/sdxl-turbo,cuda
a hyper-realistic ant on a small hill,2003,outputs\part_b\images\B10_seed2003.png,4,0.0,512,512,9.473212500000955,B10,ant_scene,short,stabilityai/sdxl-turbo,cuda
"a hyper-realistic ant in the foreground on a small hill, looking upward under a full moon",2001,outputs\part_b\images\B11_seed2001.png,4,0.0,512,512,9.687003999999433,B11,ant_scene,medium,stabilityai/sdxl-turbo,cuda
"a hyper-realistic ant in the foreground on a small hill, looking upward under a full moon",2002,outputs\part_b\images\B11_seed2002.png,4,0.0,512,512,9.518176999998104,B11,ant_scene,medium,stabilityai/sdxl-turbo,cuda
"a hyper-realistic ant in the foreground on a small hill, looking upward under a full moon",2003,outputs\part_b\images\B11_seed2003.png,4,0.0,512,512,9.43121589999646,B11,ant_scene,medium,stabilityai/sdxl-turbo,cuda
"a hyper-realistic ant in the foreground, centered on a small hill, looking upward and to the right as if inspired. In the background, a colony of ants is engaged in battle. Night scene, clear sky, full moon",2001,outputs\part_b\images\B12_seed2001.png,4,0.0,512,512,9.421883700000762,B12,ant_scene,detailed,stabilityai/sdxl-turbo,cuda
"a hyper-realistic ant in the foreground, centered on a small hill, looking upward and to the right as if inspired. In the background, a colony of ants is engaged in battle. Night scene, clear sky, full moon",2002,outputs\part_b\images\B12_seed2002.png,4,0.0,512,512,9.789474100005464,B12,ant_scene,detailed,stabilityai/sdxl-turbo,cuda
"a hyper-realistic ant in the foreground, centered on a small hill, looking upward and to the right as if inspired. In the background, a colony of ants is engaged in battle. Night scene, clear sky, full moon",2003,outputs\part_b\images\B12_seed2003.png,4,0.0,512,512,8.592538500000956,B12,ant_scene,detailed,stabilityai/sdxl-turbo,cuda
an aerial view of Monaco beachfront,2001,outputs\part_b\images\B13_seed2001.png,4,0.0,512,512,8.857348600002297,B13,monaco_race,short,stabilityai/sdxl-turbo,cuda
an aerial view of Monaco beachfront,2002,outputs\part_b\images\B13_seed2002.png,4,0.0,512,512,9.623527199997625,B13,monaco_race,short,stabilityai/sdxl-turbo,cuda
an aerial view of Monaco beachfront,2003,outputs\part_b\images\B13_seed2003.png,4,0.0,512,512,9.854608399997232,B13,monaco_race,short,stabilityai/sdxl-turbo,cuda
"an aerial view of Monaco beachfront with a Formula 1 race in the background, sunny midday",2001,outputs\part_b\images\B14_seed2001.png,4,0.0,512,512,8.573780499995337,B14,monaco_race,medium,stabilityai/sdxl-turbo,cuda
"an aerial view of Monaco beachfront with a Formula 1 race in the background, sunny midday",2002,outputs\part_b\images\B14_seed2002.png,4,0.0,512,512,9.384974799999327,B14,monaco_race,medium,stabilityai/sdxl-turbo,cuda
"an aerial view of Monaco beachfront with a Formula 1 race in the background, sunny midday",2003,outputs\part_b\images\B14_seed2003.png,4,0.0,512,512,9.558641499999794,B14,monaco_race,medium,stabilityai/sdxl-turbo,cuda
"an aerial view of Monaco beachfront and nearby treeline, with a Formula 1 race in the background. Midday, clear sunny sky, a few residents watching from windows, no crowds, only two or three cars on the track",2001,outputs\part_b\images\B15_seed2001.png,4,0.0,512,512,9.505066099998658,B15,monaco_race,detailed,stabilityai/sdxl-turbo,cuda
"an aerial view of Monaco beachfront and nearby treeline, with a Formula 1 race in the background. Midday, clear sunny sky, a few residents watching from windows, no crowds, only two or three cars on the track",2002,outputs\part_b\images\B15_seed2002.png,4,0.0,512,512,9.433949300000677,B15,monaco_race,detailed,stabilityai/sdxl-turbo,cuda
"an aerial view of Monaco beachfront and nearby treeline, with a Formula 1 race in the background. Midday, clear sunny sky, a few residents watching from windows, no crowds, only two or three cars on the track",2003,outputs\part_b\images\B15_seed2003.png,4,0.0,512,512,9.518670400000701,B15,monaco_race,detailed,stabilityai/sdxl-turbo,cuda
