prompt,seed,image_path,num_inference_steps,guidance_scale,height,width,time_seconds,prompt_id,theme,detail_level,model_id,device,clip_cosine,clip_score,sharpness_laplacian_var
"an autumn park landscape with trees, falling leaves, people walking and warm afternoon light",2003,outputs\part_b\images\B08_seed2003.png,4,0.0,512,512,9.623401700002432,B08,autumn_park,medium,stabilityai/sdxl-turbo,cuda,0.319200336933136,31.9200336933136,0.019514665007591248
"an autumn park landscape filled with trees and a few people walking, dark-to-brown clothing palette, falling leaves, orange setting sun, warm afternoon glow, light mist in the air",2001,outputs\part_b\images\B09_seed2001.png,4,0.0,512,512,9.718293900004936,B09,autumn_park,detailed,stabilityai/sdxl-turbo,cuda,0.3389739692211151,33.89739692211151,0.0053957365453243256
"an autumn park landscape filled with trees and a few people walking, dark-to-brown clothing palette, falling leaves, orange setting sun, warm afternoon glow, light mist in the air",2002,outputs\part_b\images\B09_seed2002.png,4,0.0,512,512,9.346576600000844,B09,autumn_park,detailed,stabilityai/sdxl-turbo,cuda,0.35526394844055176,35.526394844055176,0.008999528363347054
"an autumn park landscape filled with trees and a few people walking, dark-to-brown clothing palette, falling leaves, orange setting sun, warm afternoon glow, light mist in the air",2003,outputs\part_b\images\B09_seed2003.png,4,0.0,512,512,8.435006200001226,B09,autumn_park,detailed,stabilityai/sdxl-turbo,cuda,0.33067160844802856,33.067160844802856,0.008886010386049747
a hyper-realistic ant on a small hill,2001,outputs\part_b\images\B10_seed2001.png,4,0.0,512,512,9.444439700004295,B10,ant_scene,short,stabilityai/sdxl-turbo,cuda,0.3610992431640625,36.10992431640625,0.006947470363229513
a hyper-realistic ant on a small hill,2002,outputs\part_b\images\B10_seed2002.png,4,0.0,512,512,8.545858799996495,B10,ant_scene,short,stabilityai/sdxl-turbo,cuda,0.3588540554046631,35.88540554046631,0.005517896264791489
a hyper-realistic ant on a small hill,2003,outputs\part_b\images\B10_seed2003.png,4,0.0,512,512,9.473212500000956,B10,ant_scene,short,stabilityai/sdxl-turbo,cuda,0.32875606417655945,32.875606417655945,0.005957480985671282
"a hyper-realistic ant in the foreground on a small hill, looking upward under a full moon",2001,outputs\part_b\images\B11_seed2001.png,4,0.0,512,512,9.687003999999432,B11,ant_scene,medium,stabilityai/sdxl-turbo,cuda,0.41908061504364014,41.908061504364014,0.005144322291016579
"a hyper-realistic ant in the foreground on a small hill, looking upward under a full moon",2002,outputs\part_b\images\B11_seed2002.png,4,0.0,512,512,9.518176999998104,B11,ant_scene,medium,stabilityai/sdxl-turbo,cuda,0.41802242398262024,41.802242398262024,0.005272592417895794
"a hyper-realistic ant in the foreground on a small hill, looking upward under a full moon",2003,outputs\part_b\images\B11_seed2003.png,4,0.0,512,512,9.43121589999646,B11,ant_scene,medium,stabilityai/sdxl-turbo,cuda,0.41534411907196045,41.534411907196045,0.005942878313362598
"a hyper-realistic ant in the foreground, centered on a small hill, looking upward and to the right as if inspired. In the background, a colony of ants is engaged in battle. Night scene, clear sky, full moon",2001,outputs\part_b\images\B12_seed2001.png,4,0.0,512,512,9.421883700000762,B12,ant_scene,detailed,stabilityai/sdxl-turbo,cuda,0.37995514273643494,37.995514273643494,0.005397336557507515
"a hyper-realistic ant in the foreground, centered on a small hill, looking upward and to the right as if inspired. In the background, a colony of ants is engaged in battle. Night scene, clear sky, full moon",2002,outputs\part_b\images\B12_seed2002.png,4,0.0,512,512,9.789474100005464,B12,ant_scene,detailed,stabilityai/sdxl-turbo,cuda,0.3816196918487549,38.16196918487549,0.006339981220662594
"a hyper-realistic ant in the foreground, centered on a small hill, looking upward and to the right as if inspired. In the background, a colony of ants is engaged in battle. Night scene, clear sky, full moon",2003,outputs\part_b\images\B12_seed2003.png,4,0.0,512,512,8.592538500000956,B12,ant_scene,detailed,stabilityai/sdxl-turbo,cuda,0.398410439491272,39.8410439491272,0.006605808157473803
an aerial view of Monaco beachfront,2001,outputs\part_b\images\B13_seed2001.png,4,0.0,512,512,8.857348600002297,B13,monaco_race,short,stabilityai/sdxl-turbo,cuda,0.33121374249458313,33.12137424945831,0.017641661688685417
an aerial view of Monaco beachfront,2002,outputs\part_b\images\B13_seed2002.png,4,0.0,512,512,9.623527199997625,B13,monaco_race,short,stabilityai/sdxl-turbo,cuda,0.34158000349998474,34.158000349998474,0.017638379707932472
an aerial view of Monaco beachfront,2003,outputs\part_b\images\B13_seed2003.png,4,0.0,512,512,9.854608399997232,B13,monaco_race,short,stabilityai/sdxl-turbo,cuda,0.30162379145622253,30.162379145622253,0.02428213134407997
"an aerial view of Monaco beachfront with a Formula 1 race in the background, sunny midday",2001,outputs\part_b\images\B14_seed2001.png,4,0.0,512,512,8.573780499995337,B14,monaco_race,medium,stabilityai/sdxl-turbo,cuda,0.30070698261260986,30.070698261260986,0.0203649140894413
"an aerial view of Monaco beachfront with a Formula 1 race in the background, sunny midday",2002,outputs\part_b\images\B14_seed2002.png,4,0.0,512,512,9.384974799999329,B14,monaco_race,medium,stabilityai/sdxl-turbo,cuda,0.3230285048484802,32.30285048484802,0.017103612422943115
"an aerial view of Monaco beachfront with a Formula 1 race in the background, sunny midday",2003,outputs\part_b\images\B14_seed2003.png,4,0.0,512,512,9.558641499999794,B14,monaco_race,medium,stabilityai/sdxl-turbo,cuda,0.2946012020111084,29.46012020111084,0.028852880001068115
"an aerial view of Monaco beachfront and nearby treeline, with a Formula 1 race in the background. Midday, clear sunny sky, a few residents watching from windows, no crowds, only two or three cars on the track",2001,outputs\part_b\images\B15_seed2001.png,4,0.0,512,512,9.505066099998658,B15,monaco_race,detailed,stabilityai/sdxl-turbo,cuda,0.30628857016563416,30.628857016563416,0.01464877836406231
"an aerial view of Monaco beachfront and nearby treeline, with a Formula 1 race in the background. Midday, clear sunny sky, a few residents watching from windows, no crowds, only two or three cars on the track",2002,outputs\part_b\images\B15_seed2002.png,4,0.0,512,512,9.433949300000677,B15,monaco_race,detailed,stabilityai/sdxl-turbo,cuda,0.3565084636211395,35.65084636211395,0.017703717574477196
"an aerial view of Monaco beachfront and nearby treeline, with a Formula 1 race in the background. Midday, clear sunny sky, a few residents watching from windows, no crowds, only two or three cars on the track",2003,outputs\part_b\images\B15_seed2003.png,4,0.0,512,512,9.5186704000007,B15,monaco_race,detailed,stabilityai/sdxl-turbo,cuda,0.33039894700050354,33.039894700050354,0.020812081173062325
